 # Model 3 Merged names  


 Roms           Names                                 
 -----------    -------------------------------------  
                Boat Race GP                           
 daytona2      Daytona USA 2                          
 dayto2pe       Daytona USA 2: Power Edition           
 dirtdvls       Dirt Devils                            
 eca            Emergency Call Ambulance               
 fvipers2       Fighting Vipers 2                      
 harley         Harley Davidson & L.A. Riders          
 lamachin       L.A. Machineguns                       
 lemans24       Le Mans 24                             
 magtruck       Magical Truck Adventure                
 scud           Scud Race                              
 scudplus       Scud Race Plus                         
 bassdx         Sega Bass Fishing / Get Bass           
 srally2        Sega Rally 2                           
 skichamp       Ski Champ                              
 spikeout       Spikeout                               
 spikeofe       Spikeout: Final Edition                
 swtrilgy       Star Wars Trilogy Arcade               
 lostwsga       The Lost World: Jurassic Park          
                The Lost World: Jurassic Park Special   
 oceanhun       The Ocean Hunter                       
 vf3            Virtua Fighter 3                       
 vf3tb          Virtua Fighter 3: Team Battle          
 vs2            Virtua Striker 2                       
 vs298          Virtua Striker 2 '98                   
 vs299          Virtua Striker 2 '99                   
 vs2v991        Virtua Striker 2 '99.1                 
 von2           Virtual On 2: Oratorio Tangram           





# List Model 3 Non Merged names : 

     Roms       Version                              Names                              
 -----------    ---------------------------------    --------------------------------- 
  bass          USA                                  Sega Bass Fishing / Get Bass      
  bassdx        USA, Deluxe                          Sega Bass Fishing / Get Bass      
  dayto2pe      Japan                                Daytona USA 2: Power Edition      
  daytona2      Japan, Revision A                    Daytona USA 2                     
  dirtdvls      Export, Revision A                   Dirt Devils                       
  dirtdvlsa     Alt, Revision A                      Dirt Devils                       
  dirtdvlsau    Australia, Revision A                Dirt Devils                       
  dirtdvlsg     Export, Version G?                   Dirt Devils                       
  dirtdvlsj     Japan, Revision A                    Dirt Devils                       
  dirtdvlsu     USA, Revision A                      Dirt Devils                       
  eca           Export                               Emergency Call Ambulance          
  ecaj          Japan                                Emergency Call Ambulance          
  ecap          US location test                     Emergency Call Ambulance          
  ecau          USA                                  Emergency Call Ambulance          
  fvipers2      Japan, Revision A                    Fighting Vipers 2                 
  fvipers2o     ?                                    Fighting Vipers 2                 
  getbass       Japan, Standard                      Sega Bass Fishing / Get Bass      
  getbassdx     Japan, Deluxe                        Sega Bass Fishing / Get Bass      
  getbassur     Japan, Upright                       Sega Bass Fishing / Get Bass      
  harley        Export, Revision B                   Harley Davidson & L.A. Riders     
  harleya       Export, Revision A                   Harley Davidson & L.A. Riders     
  lamachin      Japan                                L.A. Machineguns                  
  lemans24      Japan, Revision B                    Le Mans 24                        
  lostwsga      Japan, Revision A                    The Lost World: Jurassic Park     
  lostwsgo      (older)                              The Lost World: Jurassic Park     
  lostwsgp      Location Test                        The Lost World: Jurassic Park     
  magtruck      Japan                                Magical Truck Adventure           
  mgtrkbad      Japan                                Magical Truck Adventure           
  oceanhun      Japan                                The Ocean Hunter                  
  oceanhuna     Japan, Revision A                    The Ocean Hunter                  
  scud          Export, Twin/DX                      Scud Race                         
  scuda         Australia                            Scud Race                         
  scudau        Australia, Twin/DX                   Scud Race                         
  scuddx        Export, Deluxe, Revision A           Scud Race                         
  scuddxo       Export, Deluxe                       Scud Race                         
  scudj         Japan                                Scud Race                         
  scudplus      Export, Twin/DX, Revision A          Scud Race Plus                    
  scudplusa     Export, Twin/DX                      Scud Race Plus                    
  skichamp      Japan                                Ski Champ                         
  spikeofe      Export                               Spikeout: Final Edition           
  spikeout      Export, Revision C                   Spikeout                          
  srally2       Export                               Sega Rally 2                      
  srally2dx     Export, Deluxe                       Sega Rally 2                      
  srally2p      Prototype                            Sega Rally 2                      
  srally2pa     Prototype Version A                  Sega Rally 2                      
  srally2x      Deluxe                               Sega Rally 2 DX                   
  swtrilgy      Export, Revision A                   Star Wars Trilogy Arcade          
  swtrilgya     Export                               Star Wars Trilogy Arcade          
  swtrilgyp     Location Test, 16.09.98              Star Wars Trilogy Arcade          
  vf3           Japan, Revision D                    Virtua Fighter 3                  
  vf3a          Japan, Revision A                    Virtua Fighter 3                  
  vf3c          Japan, Revision C                    Virtua Fighter 3                  
  vf3tb         Japan                                Virtua Fighter 3: Team Battle     
  von2          Japan, Revision B                    Virtual On 2: Oratorio Tangram    
  von254g       Japan, Version 5.4g                  Virtual On 2: Oratorio Tangram    
  von2a         Japan, Revision A                    Virtual On 2: Oratorio Tangram    
  von2o         Japan                                Virtual On 2: Oratorio Tangram    
  vs2           Step 2.0, Export, USA                Virtua Striker 2                  
  vs215         Step 1.5, Export, USA                Virtua Striker 2                  
  vs215o        Step 1.5, Japan (test?)              Virtua Striker 2                  
  vs298         Step 2.0, Japan                      Virtua Striker 2 '98              
  vs29815       Step 1.5, Japan                      Virtua Striker 2 '98              
  vs299         Export, USA                          Virtua Striker 2 '99              
  vs29915       Step 1.5, Export, USA, Revision B    Virtua Striker 2 '99.1            
  vs29915a      Step 1.5, Export, USA                Virtua Striker 2 '99              
  vs29915j      Step 1.5, Japan, Revision B          Virtua Striker 2 '99.1            
  vs299a        Export, USA, Revision A              Virtua Striker 2 '99              
  vs299b        Export, USA, Revision B              Virtua Striker 2 '99              
  vs299j        Japan, Revision B                    Virtua Striker 2 '99.1            
  vs2v991       Export, USA, Revision B              Virtua Striker 2 '99.1            





